ITEM,UNIQUE_VISITORS,VISITS,PAGE_VIEWS,BOUNCES,TIME_SPENT_ON_PAGE_(MIN),E89_VIDEO_VIEWS,E17_FORM_SUCCESS,FORM_SUBMISSIONS,TOTAL_WEEKLY_UNIQUE_VISITORS,ENTRIES,TOTAL_TIME_SPENT,ACCOUNT_NUMBER,DATE,GRANULARITY,SEGMENT_ID,GROUP,ETL_EXTRACT_DATE
,,,,,,,,,,,,::unspecified::,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0065581,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0071663,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0048703,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0008833,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0106566,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087337,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087467,Fri. 12 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ISP Visitor,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,Not In List,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,::unspecified::,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0065581,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0071663,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0048703,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0008833,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
